STT,Lat2,Lon2,Cars,Unit
1,10.770185,106.691297,146,Quận 1
2,10.765572,106.697141,131,Quận 1
3,10.7619037,106.6916579,144,Quận 1
4,10.7826262,106.7046446,143,Quận 1
5,10.7596127,106.6918942,171,Quận 1
6,10.7623228,106.6882955,260,Quận 1
7,10.768898,106.700406,124,Quận 1
8,10.7889685,106.6998689,183,Quận 1
9,10.7913805,106.689009,277,Quận 1
10,10.7679909,106.6938651,187,Quận 1
11,10.788424,106.733907,203,TP Thủ Đức
12,10.803223,106.738415,256,TP Thủ Đức
13,10.801037,106.738357,27,TP Thủ Đức
14,10.7640826,106.7262051,15,TP Thủ Đức
15,10.789291,106.737483,356,TP Thủ Đức
16,10.783321,106.7252479,132,TP Thủ Đức
17,10.785224,106.730673,91,TP Thủ Đức
18,10.789538,106.7718746,397,TP Thủ Đức
19,10.7836881,106.7654137,387,TP Thủ Đức
20,10.7707105,106.770208,291,TP Thủ Đức
21,10.7743255,106.7699143,226,TP Thủ Đức
22,10.7688812,106.676754,171,Quận 3
23,10.7661375,106.6802336,141,Quận 3
24,10.7700528,106.6776969,130,Quận 3
25,10.7753666,106.6824012,229,Quận 3
26,10.7732783,106.6868182,177,Quận 3
27,10.7816415,106.6821765,335,Quận 3
28,10.7807658,106.6766375,114,Quận 3
29,10.7844988,106.6694471,282,Quận 3
30,10.7888499,106.675784,152,Quận 3
31,10.7872002,106.6783548,86,Quận 3
32,10.7867566,106.680298,203,Quận 3
33,10.7803307,106.693036,448,Quận 3
34,10.7556008,106.690226,132,Quận 4
35,10.759756,106.6980503,201,Quận 4
36,10.7551305,106.701704,133,Quận 4
37,10.7531938,106.7037309,193,Quận 4
38,10.7602627,106.700076,128,Quận 4
39,10.7614949,106.7003765,190,Quận 4
40,10.7613869,106.703071,129,Quận 4
41,10.7606412,106.7053791,126,Quận 4
42,10.7643239,106.7073484,235,Quận 4
43,10.7600648,106.7072587,188,Quận 4
44,10.7533669,106.7082264,156,Quận 4
45,10.7565374,106.70979,247,Quận 4
46,10.7593369,106.7131167,124,Quận 4
47,10.754603,106.6820223,201,Quận 5
48,10.7557828,106.6811433,178,Quận 5
49,10.7592457,106.6805755,69,Quận 5
50,10.761875,106.6786033,118,Quận 5
51,10.7512956,106.6732201,135,Quận 5
52,10.7519665,106.6712751,91,Quận 5
53,10.7543024,106.669006,122,Quận 5
54,10.7563721,106.6759832,84,Quận 5
55,10.7588992,106.6692327,140,Quận 5
56,10.7509682,106.6599735,64,Quận 5
57,10.7546905,106.6624626,145,Quận 5
58,10.7559632,106.6564454,183,Quận 5
59,10.7496345,106.658834,103,Quận 5
60,10.7532924,106.6526735,139,Quận 5
61,10.7463739,106.6534338,125,Quận 6
62,10.7499498,106.6498025,100,Quận 6
63,10.7408009,106.6445382,116,Quận 6
64,10.7454778,106.6478759,157,Quận 6
65,10.7481625,106.6424219,164,Quận 6
66,10.7506338,106.6434657,169,Quận 6
67,10.7462005,106.6289453,143,Quận 6
68,10.7444417,106.6391352,278,Quận 6
69,10.7518926,106.6399912,150,Quận 6
70,10.7385882,106.630822,314,Quận 6
71,10.7453415,106.631948,352,Quận 6
72,10.7503949,106.6352224,315,Quận 6
73,10.7540476,106.6314679,317,Quận 6
74,10.7583357,106.62598,257,Quận 6
75,10.7490163,106.7289349,412,Quận 7
76,10.7134292,106.7431001,421,Quận 7
77,10.7222339,106.7364333,508,Quận 7
78,10.744,106.7006944,565,Quận 7
79,10.7516006,106.7060288,402,Quận 7
80,10.7383742,106.706925,456,Quận 7
81,10.7356488,106.7207342,448,Quận 7
82,10.7475819,106.7102822,345,Quận 7
83,10.7290053,106.7326538,555,Quận 7
84,10.7486885,106.7202482,395,Quận 7
85,10.7471029,106.6893047,313,Quận 8
86,10.7461695,106.6836505,302,Quận 8
87,10.7447474,106.6834086,301,Quận 8
88,10.7424324,106.671732,681,Quận 8
89,10.7368051,106.6663545,577,Quận 8
90,10.7305615,106.6446502,503,Quận 8
91,10.7091893,106.6237735,551,Quận 8
92,10.750026,106.678113,138,Quận 8
93,10.7462972,106.6700854,251,Quận 8
94,10.745029,106.662017,191,Quận 8
95,10.748779,106.6647607,100,Quận 8
96,10.7416337,106.6542686,202,Quận 8
97,10.7474809,106.6587174,118,Quận 8
98,10.7383028,106.6426929,250,Quận 8
99,10.732709,106.637998,535,Quận 8
100,10.712116,106.623594,729,Quận 8
101,10.8457402,106.7822461,333,TP Thủ Đức
102,10.8667408,106.8402158,317,TP Thủ Đức
103,10.8093125,106.8596094,160,TP Thủ Đức
104,10.8426121,106.8242674,549,TP Thủ Đức
105,10.8053765,106.8166739,348,TP Thủ Đức
106,10.791358,106.7985141,352,TP Thủ Đức
107,10.8156089,106.7740813,224,TP Thủ Đức
108,10.8270825,106.7624227,500,TP Thủ Đức
109,10.8260935,106.7690791,938,TP Thủ Đức
110,10.8590452,106.8007891,719,TP Thủ Đức
111,10.8454738,106.7941778,512,TP Thủ Đức
112,10.8355034,106.7825465,488,TP Thủ Đức
113,10.8270805,106.8141099,325,TP Thủ Đức
114,10.7667504,106.6769701,179,Quận 10
115,10.7635656,106.6716514,243,Quận 10
116,10.76155,106.669813,157,Quận 10
117,10.7601548,106.6661788,118,Quận 10
118,10.7648008,106.6629116,100,Quận 10
119,10.7627755,106.6617714,101,Quận 10
120,10.7667,106.667102,125,Quận 10
121,10.7666115,106.6719544,214,Quận 10
122,10.7681585,106.674124,140,Quận 10
123,10.7720427,106.6782222,115,Quận 10
124,10.7690264,106.6687554,285,Quận 10
125,10.7792307,106.6709028,265,Quận 10
126,10.7700668,106.6617256,406,Quận 10
127,10.7827309,106.6614147,307,Quận 10
128,10.7567087,106.6394941,159,Quận 11
