STT,Lat2,Lon2,Unit
1,10.770185,106.691297,Quận một
2,10.765572,106.697141,Quận một
3,10.7619037,106.6916579,Quận một
4,10.7826262,106.7046446,Quận một
5,10.7596127,106.6918942,Quận một
6,10.7623228,106.6882955,Quận một
7,10.768898,106.700406,
8,10.7889685,106.6998689,
9,10.7913805,106.689009,
10,10.7679909,106.6938651,
11,10.788424,106.733907,TP Thủ Đức
12,10.803223,106.738415,TP Thủ Đức
13,10.801037,106.738357,TP Thủ Đức
14,10.7640826,106.7262051,TP Thủ Đức
15,10.789291,106.737483,TP Thủ Đức
16,10.783321,106.7252479,TP Thủ Đức
17,10.785224,106.730673,
18,10.789538,106.7718746,
19,10.7836881,106.7654137,
20,10.7707105,106.770208,
21,10.7743255,106.7699143,
22,10.7688812,106.676754,Quận 3
23,10.7661375,106.6802336,Quận 3
24,10.7700528,106.6776969,Quận 3
25,10.7753666,106.6824012,Quận 3
26,10.7732783,106.6868182,Quận 3
27,10.7816415,106.6821765,Quận 3
28,10.7807658,106.6766375,Quận 3
29,10.7844988,106.6694471,Quận 3
30,10.7888499,106.675784,
31,10.7872002,106.6783548,
32,10.7867566,106.680298,
33,10.7803307,106.693036,
34,10.7556008,106.690226,Quận 4
35,10.759756,106.6980503,Quận 4
36,10.7551305,106.701704,Quận 4
37,10.7531938,106.7037309,Quận 4
38,10.7602627,106.700076,Quận 4
39,10.7614949,106.7003765,Quận 4
40,10.7613869,106.703071,Quận 4
41,10.7606412,106.7053791,Quận 4
42,10.7643239,106.7073484,Quận 4
43,10.7600648,106.7072587,Quận 4
44,10.7533669,106.7082264,Quận 4
45,10.7565374,106.70979,
46,10.7593369,106.7131167,
47,10.754603,106.6820223,Quận 5
48,10.7557828,106.6811433,Quận 5
49,10.7592457,106.6805755,Quận 5
50,10.761875,106.6786033,Quận 5
51,10.7512956,106.6732201,Quận 5
52,10.7519665,106.6712751,Quận 5
53,10.7543024,106.669006,Quận 5
54,10.7563721,106.6759832,Quận 5
55,10.7588992,106.6692327,Quận 5
56,10.7509682,106.6599735,
57,10.7546905,106.6624626,
58,10.7559632,106.6564454,
59,10.7496345,106.658834,
60,10.7532924,106.6526735,
61,10.7463739,106.6534338,Quận 6
62,10.7499498,106.6498025,Quận 6
63,10.7408009,106.6445382,Quận 6
64,10.7454778,106.6478759,Quận 6
65,10.7481625,106.6424219,
66,10.7506338,106.6434657,
67,10.7462005,106.6289453,
68,10.7444417,106.6391352,
69,10.7518926,106.6399912,
70,10.7385882,106.630822,
71,10.7453415,106.631948,
72,10.7503949,106.6352224,
73,10.7540476,106.6314679,
74,10.7583357,106.62598,Quận 6
75,10.7490163,106.7289349,Quận 7
76,10.7134292,106.7431001,Quận 7
77,10.7222339,106.7364333,Quận 7
78,10.744,106.7006944,Quận 7
79,10.7516006,106.7060288,Quận 7
80,10.7383742,106.706925,Quận 7
81,10.7356488,106.7207342,Quận 7
82,10.7475819,106.7102822,Quận 7
83,10.7290053,106.7326538,
84,10.7486885,106.7202482,
85,10.7471029,106.6893047,Quận 8
86,10.7461695,106.6836505,Quận 8
87,10.7447474,106.6834086,Quận 8
88,10.7424324,106.671732,Quận 8
89,10.7368051,106.6663545,Quận 8
90,10.7305615,106.6446502,Quận 8
91,10.7091893,106.6237735,Quận 8
92,10.750026,106.678113,Quận 8
93,10.7462972,106.6700854,Quận 8
94,10.745029,106.662017,Quận 8
95,10.748779,106.6647607,Quận 8
96,10.7416337,106.6542686,
97,10.7474809,106.6587174,
98,10.7383028,106.6426929,
99,10.732709,106.637998,
100,10.712116,106.623594,
101,10.8457402,106.7822461,
102,10.8667408,106.8402158,
103,10.8093125,106.8596094,
104,10.8426121,106.8242674,
105,10.8053765,106.8166739,
106,10.791358,106.7985141,
107,10.8156089,106.7740813,
108,10.8270825,106.7624227,
109,10.8260935,106.7690791,
110,10.8590452,106.8007891,
111,10.8454738,106.7941778,
112,10.8355034,106.7825465,
113,10.8270805,106.8141099,
114,10.7667504,106.6769701,Quận 10
115,10.7635656,106.6716514,Quận 10
116,10.76155,106.669813,Quận 10
117,10.7601548,106.6661788,Quận 10
118,10.7648008,106.6629116,Quận 10
119,10.7627755,106.6617714,Quận 10
120,10.7667,106.667102,Quận 10
121,10.7666115,106.6719544,Quận 10
122,10.7681585,106.674124,Quận 10
123,10.7720427,106.6782222,Quận 10
124,10.7690264,106.6687554,Quận 10
125,10.7792307,106.6709028,
126,10.7700668,106.6617256,
127,10.7827309,106.6614147,
128,10.7567087,106.6394941,Quận 11
129,10.7565254,106.6436234,Quận 11
130,10.7614636,106.64012,Quận 11
131,10.7593456,106.658444,Quận 11
132,10.7703619,106.6445351,Quận 11
133,10.759967,106.658148,Quận 11
134,10.7623046,106.6589612,Quận 11
135,10.7603377,106.6464736,Quận 11
136,10.7633375,106.6459219,Quận 11
137,10.762107,106.6443624,Quận 11
138,10.767961,106.650959,
139,10.7595055,106.6516372,
140,10.763937,106.6555489,
141,10.7682413,106.6506144,
142,10.7730289,106.6544495,
143,10.7543417,106.6483642,
144,10.8412867,106.6239439,Quận 12
145,10.8452255,106.6300284,Quận 12
146,10.8677106,106.6406024,Quận 12
147,10.8703511,106.6197673,Quận 12
148,10.8334523,106.6267237,Quận 12
149,10.8673635,106.6259528,Quận 12
150,10.8759487,106.6493377,Quận 12
151,10.8787583,106.6384463,Quận 12
152,10.8750803,106.6767443,Quận 12
153,10.8546375,106.6911719,Quận 12
154,10.8794114,106.6774318,Quận 12
155,10.7999883,106.6965743,Quận Bình Thạnh
156,10.8038498,106.7003489,Quận Bình Thạnh
157,10.8028121,106.6930854,Quận Bình Thạnh
158,10.8100448,106.689395,Quận Bình Thạnh
159,10.8065324,106.6872238,Quận Bình Thạnh
160,10.8062797,106.6904654,Quận Bình Thạnh
161,10.8135059,106.6938767,Quận Bình Thạnh
162,10.8086201,106.7038839,Quận Bình Thạnh
163,10.8201908,106.7024795,Quận Bình Thạnh
164,10.8043959,106.6982308,Quận Bình Thạnh
165,10.8017789,106.7081803,Quận Bình Thạnh
166,10.7979092,106.7056351,
167,10.7904223,106.7089016,
168,10.7941313,106.7097121,
169,10.7979729,106.7179585,
170,10.8031455,106.7098682,
171,10.8035626,106.7191827,
172,10.8165728,106.7059622,
173,10.8166422,106.7210337,
174,10.8252854,106.7336013,
175,10.817132,106.6887668,Quận Gò Vấp
176,10.8201928,106.6832727,Quận Gò Vấp
177,10.8224764,106.685349,Quận Gò Vấp
