STT,Lat1,Lon1,Land_Cost,Unit
1,10.7816415,106.6975222,325000000,Quận một
2,10.7744331,106.7051053,810000000,Quận một
3,10.7880351,106.7035736,244000000,Quận một
4,10.780708,106.696457,307000000,Quận một
5,10.7766297,106.7039912,579500000,Quận một
6,10.7815654,106.7000672,550000000,Quận một
7,10.7733159,106.6932644,286000000,Quận một
8,10.7653317,106.693287,380000000,Quận một
9,10.7624427,106.6953623,184000000,Quận một
10,10.7599255,106.6920225,156000000,Quận một
11,10.7891193,106.6999228,330000000,Quận một
12,10.785919,106.6984544,297000000,Quận một
13,10.7912056,106.7010514,244000000,Quận một
14,10.7643018,106.6917231,293500000,Quận một
15,10.766692,106.6877655,290500000,Quận một
16,10.7658902,106.7005239,184000000,Quận một
17,10.7915832,106.6924717,127000000,Quận một
18,10.7942896,106.6894868,160000000,Quận một
19,10.8064887,106.7339209,95000000,TP Thủ Đức
20,10.7823125,106.7693125,70900000,TP Thủ Đức
21,10.7799375,106.6945625,420000000,Quận 3
22,10.7794875,106.6880269,320000000,Quận 3
23,10.7776399,106.6905255,370000000,Quận 3
24,10.7721859,106.6828996,330000000,Quận 3
25,10.7808803,106.6830296,240000000,Quận 3
26,10.7860049,106.6667204,227000000,Quận 3
27,10.7857855,106.6673794,227000000,Quận 3
28,10.753726,106.695512,185300000,Quận 4
29,10.7528707,106.6950097,128800000,Quận 4
30,10.755355,106.697594,189800000,Quận 4
31,10.761607,106.7096661,288200000,Quận 4
32,10.7634901,106.708503,322100000,Quận 4
33,10.7594128,106.7104854,232800000,Quận 4
34,10.7561853,106.6849879,327700000,Quận 5
35,10.7507684,106.6677408,205500000,Quận 5
36,10.7578583,106.6696293,221100000,Quận 5
37,10.7421375,106.7198594,85000000,Quận 7
38,10.7434136,106.6936392,100000000,Quận 7
39,10.7405183,106.6984717,180000000,Quận 7
40,10.7293036,106.73215,117000000,Quận 7
41,10.7433988,106.7312498,90000000,Quận 7
42,10.7395435,106.6779713,92000000,Quận 8
43,10.7355839,106.6806243,92000000,Quận 8
44,10.736024,106.6777391,92000000,Quận 8
45,10.7410496,106.6641434,123000000,Quận 8
46,10.736473,106.6715647,110000000,Quận 8
47,10.745388,106.6649497,100000000,Quận 8
48,10.8440713,106.7806218,153000000,TP Thủ Đức
49,10.8242995,106.7639153,69000000,TP Thủ Đức
50,10.8334375,106.7848125,70000000,TP Thủ Đức
51,10.8663782,106.810014,62000000,TP Thủ Đức
52,10.846406,106.8125258,59000000,TP Thủ Đức
53,10.7600344,106.6614982,130600000,Quận 10
54,10.7746961,106.6753244,196500000,Quận 10
55,10.7690361,106.6664552,245600000,Quận 10
56,10.766627,106.6593453,221000000,Quận 10
57,10.7722177,106.6638098,194300000,Quận 10
58,10.7673742,106.6435449,120000000,Quận 11
59,10.7629255,106.6511555,170000000,Quận 11
60,10.8364149,106.6273131,46800000,Quận 12
61,10.8474153,106.6132329,10000000,Quận 12
62,10.7998784,106.6947423,205000000,Quận Bình Thạnh
63,10.8134247,106.7003489,168000000,Quận Bình Thạnh
64,10.7978284,106.7041058,222000000,Quận Bình Thạnh
65,10.8157989,106.7179884,65000000,Quận Bình Thạnh
66,10.7946863,106.6958035,205000000,Quận Bình Thạnh
67,10.8131176,106.7124416,168000000,Quận Bình Thạnh
68,10.8192283,106.7244978,72000000,Quận Bình Thạnh
69,10.8403375,106.6830588,120300000,Quận Gò Vấp
70,10.8389824,106.6682728,120300000,Quận Gò Vấp
71,10.8277596,106.687085,110600000,Quận Gò Vấp
72,10.8205124,106.6832161,91000000,Quận Gò Vấp
73,10.8416318,106.6344705,84000000,Quận Gò Vấp
74,10.8539627,106.6574423,84000000,Quận Gò Vấp
75,10.8116783,106.6765098,142100000,Quận Phú Nhuận
76,10.8131875,106.6759375,131600000,Quận Gò Vấp
77,10.8431557,106.6656483,86000000,Quận Gò Vấp
78,10.7999339,106.6348611,76000000,Quận Tân Phú
79,10.7943353,106.616655,110000000,Quận Tân Phú
80,10.8018384,106.6251527,104000000,Quận Tân Phú
81,10.8118829,106.6289167,94000000,Quận Tân Phú
82,10.8062584,106.617825,90000000,Quận Tân Phú
83,10.8051172,106.6231858,95000000,Quận Tân Phú
84,10.7485488,106.5830066,112000000,Quận Bình Tân
85,10.7456468,106.6224725,53700000,Quận Bình Tân
86,10.7173858,106.6138758,73200000,Quận Bình Tân
87,10.7374375,106.6143125,129800000,Quận Bình Tân
88,10.7674304,106.6182268,65900000,Quận Bình Tân
89,10.774995,106.5858982,42000000,Quận Bình Tân
90,10.7667984,106.7010399,184000000,Quận một
91,10.8083875,106.6639219,336600000,Quận Tân Bình
92,10.7762034,106.6505567,216800000,Quận Tân Bình
93,10.7815479,106.6535709,112200000,Quận Tân Bình
94,10.8019398,106.7340895,136000000,TP Thủ Đức
95,10.8022817,106.7327843,88000000,TP Thủ Đức
96,10.8090283,106.7324464,149000000,TP Thủ Đức
97,10.8150099,106.7303941,149000000,TP Thủ Đức
98,10.8084999,106.7330097,149000000,TP Thủ Đức
99,10.8085007,106.7330088,149000000,TP Thủ Đức
100,10.8085014,106.7330081,149000000,TP Thủ Đức
101,10.8072453,106.7310888,136000000,TP Thủ Đức
102,10.8017836,106.7393363,72000000,TP Thủ Đức
103,10.8048693,106.743644,51000000,TP Thủ Đức
104,10.7835112,106.7486233,36000000,TP Thủ Đức
105,10.8043499,106.7472609,123000000,TP Thủ Đức
106,10.8085008,106.7330088,149000000,TP Thủ Đức
107,10.7900625,106.7551875,81700000,TP Thủ Đức
108,10.7857254,106.756771,81700000,TP Thủ Đức
109,10.7915625,106.7601875,102000000,TP Thủ Đức
110,10.7925625,106.7620625,102000000,TP Thủ Đức
111,10.8085007,106.7330089,149000000,TP Thủ Đức
112,10.8029745,106.7635288,70000000,TP Thủ Đức
113,10.8012802,106.73776,72000000,TP Thủ Đức
114,10.8036411,106.7486049,72000000,TP Thủ Đức
115,10.8011506,106.7381039,72000000,TP Thủ Đức
116,10.7854373,106.7302062,149000000,TP Thủ Đức
117,10.7916495,106.7403727,61000000,TP Thủ Đức
118,10.7874756,106.7410541,90000000,TP Thủ Đức
119,10.8004335,106.7400041,102000000,TP Thủ Đức
120,10.7993125,106.7506875,98000000,TP Thủ Đức
121,10.8018536,106.7493055,76000000,TP Thủ Đức
122,10.7971282,106.7503393,163000000,TP Thủ Đức
123,10.7981375,106.7431406,44000000,TP Thủ Đức
124,10.7973271,106.7510353,163000000,TP Thủ Đức
125,10.7833529,106.7292615,149000000,TP Thủ Đức
126,10.7952716,106.7368019,91000000,TP Thủ Đức
127,10.7664375,106.7168125,295000000,TP Thủ Đức
128,10.7851119,106.7316745,90000000,TP Thủ Đức
129,10.7877338,106.7348323,149000000,TP Thủ Đức
130,10.7850508,106.730271,149000000,TP Thủ Đức
131,10.7749211,106.7269032,163000000,TP Thủ Đức
132,10.782072,106.7196984,295000000,TP Thủ Đức
133,10.7770559,106.7132932,295000000,TP Thủ Đức
134,10.7685805,106.7126926,163000000,TP Thủ Đức
135,10.7708162,106.7157135,163000000,TP Thủ Đức
136,10.7764736,106.7251455,68000000,TP Thủ Đức
137,10.7709917,106.7242868,295000000,TP Thủ Đức
138,10.7686432,106.7264125,149000000,TP Thủ Đức
139,10.7787522,106.746685,96000000,TP Thủ Đức
140,10.7868804,106.7627963,81700000,TP Thủ Đức
141,10.7886353,106.765623,81700000,TP Thủ Đức
142,10.7897861,106.7686383,81700000,TP Thủ Đức
143,10.7725301,106.7260411,163000000,TP Thủ Đức
144,10.7844627,106.7603239,81700000,TP Thủ Đức
145,10.7887033,106.7707404,81700000,TP Thủ Đức
146,10.7910562,106.7760618,75000000,TP Thủ Đức
147,10.7911425,106.7782325,79000000,TP Thủ Đức
148,10.7768194,106.7509183,62000000,TP Thủ Đức
149,10.7786299,106.753896,96000000,TP Thủ Đức
150,10.7774711,106.7548638,96000000,TP Thủ Đức
151,10.7769192,106.7575179,96000000,TP Thủ Đức
152,10.7924766,106.7803461,84000000,TP Thủ Đức
153,10.7723378,106.7628928,96000000,TP Thủ Đức
154,10.7621031,106.7588528,78000000,TP Thủ Đức
155,10.7749524,106.760846,81700000,TP Thủ Đức
156,10.7717636,106.7714194,96000000,TP Thủ Đức
157,10.7680231,106.7723331,70000000,TP Thủ Đức
158,10.7737465,106.7701032,81700000,TP Thủ Đức
159,10.7668568,106.7861809,49900000,TP Thủ Đức
160,10.7705492,106.78554,46000000,TP Thủ Đức
161,10.842034,106.7698288,72000000,TP Thủ Đức
162,10.8437604,106.7716366,80000000,TP Thủ Đức
163,10.8677847,106.8137769,69000000,TP Thủ Đức
164,10.8411067,106.8394478,163000000,TP Thủ Đức
165,10.8441875,106.8379375,163000000,TP Thủ Đức
166,10.8411875,106.8370625,69900000,TP Thủ Đức
167,10.7953125,106.7845625,76000000,TP Thủ Đức
168,10.7977284,106.784594,70000000,TP Thủ Đức
169,10.8251187,106.7207455,50000000,TP Thủ Đức
170,10.7853925,106.7763668,79000000,TP Thủ Đức
171,10.7459617,106.6181662,90000000,TP Thủ Đức
172,10.7988406,106.6690836,336600000,Quận Tân Bình
173,10.8049008,106.7968126,70000000,TP Thủ Đức
174,10.8016022,106.7942758,70000000,TP Thủ Đức
175,10.7979306,106.7921555,81700000,TP Thủ Đức
176,10.7868232,106.8016498,56000000,TP Thủ Đức
177,10.8156852,106.7695486,62000000,TP Thủ Đức
178,10.8200511,106.7620183,38800000,TP Thủ Đức
179,10.8274819,106.7637383,69000000,TP Thủ Đức
180,10.8313993,106.7646995,72000000,TP Thủ Đức
181,10.8310844,106.7750035,68000000,TP Thủ Đức
182,10.8286595,106.7743457,90000000,TP Thủ Đức
183,10.8391385,106.7700022,72000000,TP Thủ Đức
184,10.816325,106.7786924,56000000,TP Thủ Đức
185,10.8074374,106.7778806,81700000,TP Thủ Đức
186,10.8339066,106.7531619,163000000,TP Thủ Đức
187,10.8066188,106.7891761,70000000,TP Thủ Đức
188,10.8128147,106.7849449,163000000,TP Thủ Đức
189,10.8204837,106.7788366,70000000,TP Thủ Đức
190,10.8111464,106.7859178,163000000,TP Thủ Đức
191,10.8241228,106.7711003,81700000,TP Thủ Đức
192,10.8516822,106.7946386,85000000,TP Thủ Đức
193,10.8140625,106.8286875,70000000,TP Thủ Đức
194,10.8638633,106.8101424,56000000,TP Thủ Đức
195,10.8439942,106.7626205,80000000,TP Thủ Đức
196,10.8637598,106.7347406,79000000,TP Thủ Đức
197,10.8494094,106.7537055,45800000,TP Thủ Đức
198,10.8670131,106.7378441,80000000,TP Thủ Đức
199,10.8246622,106.717276,54000000,TP Thủ Đức
200,10.8379926,106.7301115,50000000,TP Thủ Đức
201,10.8260603,106.723013,95000000,TP Thủ Đức
202,10.8259017,106.7292192,36000000,TP Thủ Đức
203,10.8240064,106.7195821,62000000,TP Thủ Đức
204,10.8233625,106.7207656,88000000,TP Thủ Đức
