STT,Lat1,Lon1,Land_Cost,Unit
1,10.7409741,106.6273479,93600000.00,Quận 6
2,10.6968408,106.5789678,20000000.00,Huyện Bình Chánh
3,10.8190625,106.5825625,30000000.00,Huyện Bình Chánh
4,10.7993125,106.5760625,25000000.00,Huyện Bình Chánh
5,10.7816415,106.6975222,325000000.00,Quận một
6,10.7780283,106.7019909,579500000.00,Quận một
7,10.7744331,106.7051053,810000000.00,Quận một
8,10.7880351,106.7035736,244000000.00,Quận một
9,10.780708,106.696457,307000000.00,Quận một
10,10.7766297,106.7039912,579500000.00,Quận một
11,10.7815654,106.7000672,550000000.00,Quận một
12,10.7733159,106.6932644,286000000.00,Quận một
13,10.7653317,106.693287,380000000.00,Quận một
14,10.7624427,106.6953623,184000000.00,Quận một
15,10.7599255,106.6920225,156000000.00,Quận một
16,10.7891193,106.6999228,330000000.00,Quận một
17,10.785919,106.6984544,297000000.00,Quận một
18,10.7912056,106.7010514,244000000.00,Quận một
19,10.7643018,106.6917231,293500000.00,Quận một
20,10.766692,106.6877655,290500000.00,Quận một
21,10.7658902,106.7005239,184000000.00,Quận một
22,10.7915832,106.6924717,127000000.00,Quận một
23,10.7942896,106.6894868,160000000.00,Quận một
24,10.8064887,106.7339209,95000000.00,TP Thủ Đức
25,10.7823125,106.7693125,70900000.00,TP Thủ Đức
26,10.7799375,106.6945625,420000000.00,Quận 3
27,10.7794875,106.6880269,320000000.00,Quận 3
28,10.7776399,106.6905255,370000000.00,Quận 3
29,10.7721859,106.6828996,330000000.00,Quận 3
30,10.7808803,106.6830296,240000000.00,Quận 3
31,10.7860049,106.6667204,227000000.00,Quận 3
32,10.7857855,106.6673794,227000000.00,Quận 3
33,10.753726,106.695512,185300000.00,Quận 4
34,10.7528707,106.6950097,128800000.00,Quận 4
35,10.755355,106.697594,189800000.00,Quận 4
36,10.761607,106.7096661,288200000.00,Quận 4
37,10.7634901,106.708503,322100000.00,Quận 4
38,10.7594128,106.7104854,232800000.00,Quận 4
39,10.7561853,106.6849879,327700000.00,Quận 5
40,10.7507684,106.6677408,205500000.00,Quận 5
41,10.7578583,106.6696293,221100000.00,Quận 5
42,10.7421375,106.7198594,85000000.00,Quận 7
43,10.7434136,106.6936392,100000000.00,Quận 7
44,10.7405183,106.6984717,180000000.00,Quận 7
45,10.7293036,106.73215,117000000.00,Quận 7
46,10.7433988,106.7312498,90000000.00,Quận 7
47,10.7395435,106.6779713,92000000.00,Quận 8
48,10.7355839,106.6806243,92000000.00,Quận 8
49,10.736024,106.6777391,92000000.00,Quận 8
50,10.7410496,106.6641434,123000000.00,Quận 8
51,10.736473,106.6715647,110000000.00,Quận 8
52,10.745388,106.6649497,100000000.00,Quận 8
53,10.8440713,106.7806218,153000000.00,TP Thủ Đức
54,10.8242995,106.7639153,69000000.00,TP Thủ Đức
55,10.8334375,106.7848125,70000000.00,TP Thủ Đức
56,10.8663782,106.810014,62000000.00,TP Thủ Đức
57,10.846406,106.8125258,59000000.00,TP Thủ Đức
58,10.7600344,106.6614982,130600000.00,Quận 10
59,10.7746961,106.6753244,196500000.00,Quận 10
60,10.7690361,106.6664552,245600000.00,Quận 10
61,10.766627,106.6593453,221000000.00,Quận 10
62,10.7722177,106.6638098,194300000.00,Quận 10
63,10.7673742,106.6435449,120000000.00,Quận 11
64,10.7629255,106.6511555,170000000.00,Quận 11
65,10.8364149,106.6273131,46800000.00,Quận 12
66,10.8474153,106.6132329,10000000.00,Quận 12
67,10.7998784,106.6947423,205000000.00,Quận Bình Thạnh
68,10.8134247,106.7003489,168000000.00,Quận Bình Thạnh
69,10.7978284,106.7041058,222000000.00,Quận Bình Thạnh
70,10.8157989,106.7179884,65000000.00,Quận Bình Thạnh
71,10.7946863,106.6958035,205000000.00,Quận Bình Thạnh
72,10.8131176,106.7124416,168000000.00,Quận Bình Thạnh
73,10.8192283,106.7244978,72000000.00,Quận Bình Thạnh
74,10.8182198,106.7049669,136000000.00,Quận Bình Thạnh
75,10.8261922,106.7033932,109000000.00,Quận Bình Thạnh
76,10.7965254,106.6943434,205000000.00,Quận Bình Thạnh
77,10.8403375,106.6830588,120300000.00,Quận Gò Vấp
78,10.8389824,106.6682728,120300000.00,Quận Gò Vấp
79,10.8277596,106.687085,110600000.00,Quận Gò Vấp
80,10.8205124,106.6832161,91000000.00,Quận Gò Vấp
81,10.8416318,106.6344705,84000000.00,Quận Gò Vấp
82,10.8539627,106.6574423,84000000.00,Quận Gò Vấp
83,10.8116783,106.6765098,142100000.00,Quận Phú Nhuận
84,10.8131875,106.6759375,131600000.00,Quận Gò Vấp
85,10.8431557,106.6656483,86000000.00,Quận Gò Vấp
86,10.7999339,106.6348611,76000000.00,Quận Tân Phú
87,10.7943353,106.616655,110000000.00,Quận Tân Phú
88,10.8018384,106.6251527,104000000.00,Quận Tân Phú
89,10.8118829,106.6289167,94000000.00,Quận Tân Phú
90,10.8062584,106.617825,90000000.00,Quận Tân Phú
91,10.8051172,106.6231858,95000000.00,Quận Tân Phú
92,10.7485488,106.5830066,112000000.00,Quận Bình Tân
93,10.7456468,106.6224725,53700000.00,Quận Bình Tân
94,10.7173858,106.6138758,73200000.00,Quận Bình Tân
95,10.7374375,106.6143125,129800000.00,Quận Bình Tân
96,10.7674304,106.6182268,65900000.00,Quận Bình Tân
97,10.774995,106.5858982,42000000.00,Quận Bình Tân
98,10.7667984,106.7010399,184000000.00,Quận một
99,10.8083875,106.6639219,336600000.00,Quận Tân Bình
100,10.7762034,106.6505567,216800000.00,Quận Tân Bình
101,10.7815479,106.6535709,112200000.00,Quận Tân Bình
102,10.8737193,106.607373,30000000.00,Huyện Hóc Môn
103,10.792017,106.659481,215600000.00,Quận Tân Bình
104,10.8502766,106.7938834,85000000.00,TP Thủ Đức
105,10.7987982,106.7438661,98000000.00,TP Thủ Đức
106,10.7341206,106.6897654,200000000.00,Huyện Bình Chánh
107,10.6617705,106.6007301,30000000.00,Huyện Bình Chánh
108,10.7321658,106.6746346,30000000.00,Huyện Bình Chánh
109,10.7361992,106.6888441,30000000.00,Huyện Bình Chánh
110,10.7350242,106.6910949,42000000.00,Huyện Bình Chánh
111,10.658964,106.6562402,5000000.00,Huyện Bình Chánh
112,10.7536327,106.5875807,15000000.00,Huyện Bình Chánh
113,10.6871737,106.5940572,15000000.00,Huyện Bình Chánh
114,10.7152821,106.6868179,150000000.00,Huyện Bình Chánh
115,10.7015762,106.6544189,80000000.00,Huyện Bình Chánh
116,10.691223,106.654859,80000000.00,Huyện Bình Chánh
117,10.7266461,106.6432466,30000000.00,Huyện Bình Chánh
118,10.7322864,106.6903343,121000000.00,Huyện Bình Chánh
119,10.7215438,106.6989733,34000000.00,Huyện Bình Chánh
120,10.7340936,106.6912672,116000000.00,Huyện Bình Chánh
121,10.7367766,106.67274,120000000.00,Huyện Bình Chánh
122,10.7194061,106.6871052,128000000.00,Huyện Bình Chánh
123,10.8296233,106.5787705,30000000.00,Huyện Bình Chánh
124,10.734609,106.6728852,120000000.00,Huyện Bình Chánh
125,10.8171034,106.5845118,32000000.00,Huyện Bình Chánh
126,10.8297288,106.5597076,43000000.00,Huyện Bình Chánh
127,10.7185338,106.6812827,70000000.00,Huyện Bình Chánh
128,10.8170702,106.5813104,32000000.00,Huyện Bình Chánh
129,10.7582112,106.5212274,13000000.00,Huyện Bình Chánh
130,10.7043325,106.6460779,50000000.00,Huyện Bình Chánh
131,10.6670605,106.6213248,34000000.00,Huyện Bình Chánh
132,10.7311347,106.6755435,120000000.00,Huyện Bình Chánh
133,10.6671593,106.5724237,58000000.00,Huyện Bình Chánh
134,10.8130967,106.5793354,25000000.00,Huyện Bình Chánh
