Unit,distance_km
Huyện Bình Chánh,12.5120668831536
Huyện Cần Giờ,15.812774545644817
Huyện Củ Chi,16.530489626454543
Huyện Hóc Môn,6.408917626939009
Huyện Nhà Bè,5.825863231748731
Quận 10,1.3024170537836444
Quận 11,1.190544118686766
Quận 12,4.330781044599814
Quận 3,1.7792416798073891
Quận 4,0.9714546556096956
Quận 5,1.759549036742075
Quận 6,2.3824897970466172
Quận 7,2.9263762121252808
Quận 8,5.3485021540691475
Quận Bình Thạnh,1.2646696382372655
Quận Bình Tân,4.700483423201375
Quận Gò Vấp,4.075468088716949
Quận Phú Nhuận,1.2567235315930316
Quận Tân Bình,3.8540665268326295
Quận Tân Phú,2.614590824625298
Quận một,2.669472963774325
TP Thủ Đức,9.857245497554063
