Unit,Type,Value,Column,Row,x coordinate,y coordinate
TP Thủ Đức,x3 value,6.0,84,1,10.7459617,106.6181662
TP Thủ Đức,x3 value,6.0,122,1,10.8877681,106.7231444
TP Thủ Đức,x3 value,6.0,124,1,10.8772594,106.7229542
TP Thủ Đức,x3 value,6.0,151,1,10.8427238,106.7093918
TP Thủ Đức,x3 value,6.0,152,1,10.8704375,106.7175625
TP Thủ Đức,x3 value,6.0,157,1,10.6987425,106.6093284
TP Thủ Đức,x3 value,4.0,176,1,10.8298985,106.7135588
Quận một,x2 value,5.0,20,3,10.7937869,106.6864603
Quận một,x3 value,5.0,20,3,10.7937869,106.6864603
Quận 3,x2 value,6.0,5,7,10.7860049,106.6667204
Quận 3,x2 value,6.0,6,7,10.7857855,106.6673794
Quận 3,x2 value,6.0,13,7,10.7863377,106.6756545
Quận 3,x2 value,6.0,14,7,10.7884668,106.6761484
Quận 3,x2 value,6.0,15,7,10.7805796,106.6789248
Quận 3,x2 value,6.0,20,7,10.7867669,106.6808522
Quận 3,x2 value,6.0,22,7,10.7680842,106.6749349
Quận 3,x2 value,3.0,24,7,10.782821,106.6812322
Quận 3,x2 value,6.0,27,7,10.7842743,106.6700969
Quận 3,x2 value,6.0,29,7,10.787959,106.67811
Quận 4,x2 value,3.0,1,8,10.7528707,106.6950097
Quận 4,x2 value,6.0,6,8,10.7550862,106.6900213
Quận 4,x3 value,6.0,6,8,10.7550862,106.6900213
Quận 4,x2 value,6.0,7,8,10.7549049,106.6920479
Quận 4,x2 value,6.0,18,8,10.7575748,106.6938157
Quận 5,x2 value,6.0,5,3,10.7545639,106.6562754
Quận 5,x2 value,6.0,6,3,10.7562856,106.6564091
Quận 5,x2 value,6.0,8,3,10.7529853,106.6547702
Quận 5,x3 value,4.0,8,3,10.7529853,106.6547702
Quận 5,x2 value,2.0,17,3,10.7532842,106.6603784
Quận 5,x2 value,6.0,25,3,10.7583253,106.6616928
Quận 6,x2 value,6.0,11,4,10.7468584,106.6176302
Quận 6,x3 value,4.0,11,4,10.7468584,106.6176302
Quận 6,x2 value,6.0,12,4,10.7553191,106.6244303
Quận 6,x2 value,6.0,31,4,10.7445965,106.6263666
Quận 6,x2 value,6.0,35,4,10.7551442,106.6273117
Quận 6,x2 value,6.0,37,4,10.7412868,106.6220374
Quận 6,x2 value,6.0,39,4,10.7449088,106.6238208
Quận 6,x2 value,6.0,40,4,10.7508597,106.6242252
Quận 6,x2 value,6.0,42,4,10.7417091,106.6244498
Quận 6,x2 value,1.0,50,4,10.7489846,106.6282264
Quận 7,x2 value,6.0,1,4,10.7434136,106.6936392
Quận 7,x3 value,6.0,1,4,10.7434136,106.6936392
Quận 7,x2 value,6.0,8,4,10.7355655,106.6955453
Quận 7,x2 value,6.0,26,4,10.7335453,106.7015581
Quận 7,x2 value,6.0,27,4,10.7485388,106.7023081
Quận 7,x2 value,6.0,29,4,10.7455781,106.7010799
Quận 7,x2 value,6.0,30,4,10.7438154,106.7019267
Quận 7,x2 value,6.0,32,4,10.7294742,106.6927029
Quận 7,x3 value,2.0,32,4,10.7294742,106.6927029
Quận 7,x2 value,6.0,36,4,10.7400941,106.7037242
Quận 7,x2 value,3.0,39,4,10.7516665,106.7071575
Quận 7,x2 value,6.0,49,0,10.742319,106.6933681
Quận 8,x2 value,1.0,17,10,10.7206342,106.6323425
Quận 8,x2 value,6.0,18,7,10.7148464,106.6249225
Quận 8,x2 value,6.0,19,10,10.725561,106.6261241
Quận 8,x2 value,6.0,22,7,10.7122905,106.6174564
Quận 8,x3 value,5.0,22,7,10.7122905,106.6174564
Quận 8,x2 value,6.0,25,7,10.7331543,106.6052491
Quận 8,x3 value,6.0,25,7,10.7331543,106.6052491
Quận 8,x2 value,6.0,31,7,10.699249,106.610049
Quận 8,x3 value,6.0,31,7,10.699249,106.610049
Quận 8,x2 value,6.0,32,7,10.7107447,106.6176002
Quận 10,x3 value,1.0,3,9,10.766627,106.6593453
Quận 10,x2 value,1.0,11,9,10.772603,106.657698
Quận 10,x3 value,6.0,11,9,10.772603,106.657698
Quận 10,x3 value,6.0,18,9,10.7819773,106.6626329
Quận 11,x2 value,6.0,0,4,10.7673742,106.6435449
Quận 11,x2 value,6.0,3,4,10.7660019,106.6427647
Quận 11,x2 value,6.0,9,4,10.763596,106.6418318
Quận 11,x2 value,1.0,13,4,10.7665933,106.6434903
Quận 11,x2 value,6.0,15,4,10.7654687,106.6426321
Quận 11,x2 value,6.0,17,4,10.7548169,106.640303
Quận 11,x2 value,6.0,22,4,10.7716208,106.6412999
Quận 11,x3 value,5.0,22,4,10.7716208,106.6412999
Quận 12,x2 value,1.0,1,10,10.8474153,106.6132329
Quận 12,x2 value,6.0,27,10,10.8710428,106.6145978
Quận 12,x2 value,6.0,31,10,10.8629681,106.6118577
Quận 12,x3 value,4.0,31,10,10.8629681,106.6118577
Quận 12,x2 value,6.0,39,10,10.8578573,106.609876
Quận 12,x3 value,6.0,39,10,10.8578573,106.609876
