Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận 6,x2 value,6.0,11,4,10.7468584,106.6176302
Quận 6,x3 value,4.0,11,4,10.7468584,106.6176302
Quận 6,x2 value,6.0,12,4,10.7553191,106.6244303
Quận 6,x2 value,6.0,31,4,10.7445965,106.6263666
Quận 6,x2 value,6.0,35,4,10.7551442,106.6273117
Quận 6,x2 value,6.0,37,4,10.7412868,106.6220374
Quận 6,x2 value,6.0,39,4,10.7449088,106.6238208
Quận 6,x2 value,6.0,40,4,10.7508597,106.6242252
Quận 6,x2 value,6.0,42,4,10.7417091,106.6244498
Quận 6,x2 value,1.0,50,4,10.7489846,106.6282264
