Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận Bình Thạnh,x2 value,6.0,7,8,10.8060348,106.6867725
Quận Bình Thạnh,x3 value,1.0,7,8,10.8060348,106.6867725
Quận Bình Thạnh,x2 value,6.0,8,8,10.8083802,106.6853548
Quận Bình Thạnh,x3 value,6.0,8,8,10.8083802,106.6853548
Quận Bình Thạnh,x2 value,6.0,27,8,10.7924672,106.6827486
Quận Bình Thạnh,x3 value,6.0,27,8,10.7924672,106.6827486
Quận Bình Thạnh,x2 value,6.0,52,8,10.8061841,106.6869645
Quận Bình Thạnh,x3 value,1.0,52,8,10.8061841,106.6869645
Quận Bình Thạnh,x2 value,6.0,70,9,10.8085535,106.7140184
Quận Bình Thạnh,x2 value,6.0,71,6,10.8141551,106.7090458
Quận Bình Thạnh,x2 value,6.0,72,8,10.8069419,106.6969692
Quận Bình Thạnh,x3 value,1.0,72,8,10.8069419,106.6969692
Quận Bình Thạnh,x2 value,6.0,73,8,10.8195505,106.7032129
