Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận Tân Bình,x2 value,6.0,2,1,10.7815479,106.6535709
Quận Tân Bình,x2 value,6.0,12,6,10.786918,106.641914
Quận Tân Bình,x2 value,6.0,13,1,10.8258193,106.6307968
Quận Tân Bình,x3 value,6.0,13,1,10.8258193,106.6307968
Quận Tân Bình,x3 value,2.0,15,1,10.8208539,106.6351198
Quận Tân Bình,x3 value,1.0,24,1,10.8237687,106.633877
Quận Tân Bình,x2 value,4.0,39,1,10.7967869,106.6564802
Quận Tân Bình,x2 value,1.0,51,1,10.806618,106.635062
Quận Tân Bình,x3 value,4.0,51,1,10.806618,106.635062
Quận Tân Bình,x2 value,2.0,54,1,10.8219252,106.630419
Quận Tân Bình,x3 value,5.0,54,1,10.8219252,106.630419
Quận Tân Bình,x2 value,6.0,57,0,10.8023981,106.6446732
Quận Tân Bình,x2 value,6.0,59,1,10.780992,106.64666
