Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận Tân Phú,x2 value,6.0,4,5,10.8062584,106.617825
Quận Tân Phú,x2 value,6.0,34,5,10.8061464,106.6106977
Quận Tân Phú,x3 value,6.0,34,5,10.8061464,106.6106977
Quận Tân Phú,x2 value,6.0,37,5,10.7999737,106.6128979
Quận Tân Phú,x3 value,6.0,37,5,10.7999737,106.6128979
Quận Tân Phú,x2 value,6.0,50,5,10.80528,106.609316
Quận Tân Phú,x3 value,6.0,50,5,10.80528,106.609316
Quận Tân Phú,x2 value,4.0,64,5,10.8078686,106.6191025
Quận Tân Phú,x2 value,6.0,70,5,10.7947144,106.6147691
Quận Tân Phú,x3 value,2.0,70,5,10.7947144,106.6147691
